Date/Time (PST),Temperature (deg F),Relative Humidity (%),"Total Snow Depth ("")","Intermittent/Shot Snow ("")"
25-06-2019 15:00,47.33,89.9,16.46,-7999
25-06-2019 14:00,53.8,69.82,10.02,-7999
25-06-2019 13:00,55.02,65.32,12.31,-7999
25-06-2019 12:00,56.62,54.77,11.77,-7999
25-06-2019 11:00,54.93,58.87,12.12,-7999
25-06-2019 10:00,51.53,69.53,11.63,-7999
25-06-2019 09:00,46.93,78.51,14.04,-7999
25-06-2019 08:00,43.38,87.8,13.33,-7999
25-06-2019 07:00,40.57,90.9,12.63,-7999
25-06-2019 06:00,39.1,94.8,5.907,-7999
25-06-2019 05:00,37.27,100,12.59,-7999
25-06-2019 04:00,36.16,99.9,13.14,-7999
25-06-2019 03:00,37.26,98.6,7.927,-7999
25-06-2019 02:00,38.24,99.9,5.241,-7999
25-06-2019 01:00,39.1,99.9,5.241,-7999
25-06-2019 00:00,38.49,99.9,9,-7999
24-06-2019 23:00,38.49,97.4,8.87,-7999
24-06-2019 22:00,38.85,97.2,12.09,-7999
24-06-2019 21:00,39.21,95.9,17.21,-7999
24-06-2019 20:00,40.55,92.7,17.8,-7999
24-06-2019 19:00,42.98,86.7,16.51,-7999
24-06-2019 18:00,43.71,79.17,12.9,-7999
24-06-2019 17:00,44.31,81.1,17.62,-7999
24-06-2019 16:00,46.76,79.7,17.9,-7999
24-06-2019 15:00,46.28,79.84,9.17,-7999
24-06-2019 14:00,46.53,81.2,12.64,-7999
24-06-2019 13:00,44.2,91.4,11.01,-7999
24-06-2019 12:00,42.76,91.3,12.23,-7999
24-06-2019 11:00,40.18,97.2,8.53,-7999
24-06-2019 10:00,39.7,95.4,8.76,-7999
24-06-2019 09:00,39.1,96.6,12.64,-7999
24-06-2019 08:00,38.49,99.8,15.11,-7999
24-06-2019 07:00,37.26,99.8,12.09,-434.5
24-06-2019 06:00,36.64,99.9,15.18,-7999
24-06-2019 05:00,36.4,99.8,15.7,-7999
24-06-2019 04:00,36.04,99.9,14.89,-7999
24-06-2019 03:00,36.52,99.8,15.44,-7999
24-06-2019 02:00,36.15,99.8,16.12,-7999
24-06-2019 01:00,36.77,100,14.51,-7999
24-06-2019 00:00,37.38,100,15.31,-7999
23-06-2019 23:00,38.23,99.9,13.6,-7999
23-06-2019 22:00,39.81,99.9,13.35,-7999
23-06-2019 21:00,40.3,99.8,15.92,-7999
23-06-2019 20:00,40.18,99.9,16.05,-7999
23-06-2019 19:00,40.55,99.9,11.22,-7999
23-06-2019 18:00,40.42,94.3,13.77,-7999
23-06-2019 17:00,41.65,93.7,13.03,-7999
23-06-2019 16:00,42.37,93.9,16.63,-7999
23-06-2019 15:00,42.36,95.9,16.39,-7999
23-06-2019 14:00,44.2,94.1,4.579,-7999
23-06-2019 13:00,43.71,95.2,13.3,-7999
23-06-2019 12:00,43.71,97.4,10.62,-7999
23-06-2019 11:00,44.08,99.9,11.42,-7999
23-06-2019 10:00,44.47,99.9,12.23,-7999
23-06-2019 09:00,42.26,99.9,13.84,-371.9
23-06-2019 08:00,42.39,99.9,14.84,-382.5
23-06-2019 07:00,42.39,100,12.56,-7999
